priority,item,quantity,team_sheet_value,estimated_unit_price,estimated_subtotal,product_url,status,inventory_gap,notes
1,"StonyLab qualitative filter paper, 90 mm, 100 sheets",1,"Getting Small",18.79,18.79,https://stonylab.com/products/b0c7877mch-filter-paper-circles,"Asked Shellie to order",G02,"Invisible Invaders (Piter + Aastha); verify fit with funnel before order"
1,"AmScope pre-cleaned microscope slides and coverslips, 50 slides/100 coverslips",1,"Getting Small",17.99,17.99,https://www.walmart.com/ip/147054089,"Asked Shellie to order",G03,"Ground-edge slides; tape-lift protocol uses tape directly on slide"
1,"GUSTO powder-free nitrile gloves, small, 100 count",1,"Getting Small",9.98,9.98,https://www.walmart.com/ip/2530610440,"Asked Shellie to order",G04,"Confirm small variation and existing medium/XL stock"
1,"GUSTO powder-free nitrile gloves, large, 100 count",1,"Getting Small",9.98,9.98,https://www.walmart.com/ip/2530610440,"Asked Shellie to order",G04,"Confirm large variation and existing medium/XL stock"
1,"Reynolds heavy-duty aluminum foil, 37.5 square feet",1,"Getting Small",4.97,4.97,https://www.walmart.com/ip/11027098,"Asked Shellie to order",G05,"Clean covers and preparation surfaces"
1,"Scotch transparent tape, 3/4 inch, four dispensers",1,"Getting Small",3.99,3.99,https://www.target.com/p/-/A-14045726,"Asked Shellie to order",G07,"Crystal-clear tape; one dispenser per station"
2,"Elmer's washable disappearing-purple glue sticks, 12 count",1,"Getting Small",6.88,6.88,https://www.walmart.com/ip/21119568,"Asked Shellie to order",G08,"Non-toxic low-odor solid adhesive for advocacy work"
2,"Sharpie fine permanent markers, black, 12 count",1,"Getting Small",7.97,7.97,https://www.walmart.com/ip/258144696,"Asked Shellie to order",C01,"Written sample IDs remain primary"
2,"Pen+Gear multicolor masking tape, six rolls",1,"Getting Small",6.24,6.24,https://www.walmart.com/ip/1132207747,"Asked Shellie to order",G07,"Use color only with written IDs and symbols"
,"ESTIMATED SUBTOTAL",9,,86.79,86.79,,,,"Leaves $13.21 before tax or price changes"
