item_id,category,item,evidence_status,quantity_evidence,camp_relevance,next_action,source_evidence,location
S01,Sampling and field,Ball/Mason jars,CHECK,"at least 3 assigned; roughly 20+ assorted visible",core,"match clean jars to intact lids and reserve equivalent sets",P02; transcript; class inventory,A/B/C confirm
S02,Sampling and field,Jar lids and rings,CHECK,many assorted visible,core,"match to S01 and reject damaged pieces",P02,A/B/C confirm
S03,Sampling and field,Clear storage tubs and lidded bins,PRESENT,many sizes visible,core,"label clean-tools and used-tools bins",P03; P07; P21; P23-P30,A/B/C confirm
S04,Sampling and field,Lab measuring vessels and specimen cups,CHECK,multiple assorted pieces visible,support,"select safe contamination-appropriate pieces and inspect",P11,prep room likely
S05,Sampling and field,Porcelain filter funnels,CHECK,present but count unknown,core,"count and test with selected jars and filters",transcript,prep room
S06,Sampling and field,Metal sieve stack,PRESENT,one multi-size stack visible,optional,"confirm mesh sequence and cleaning procedure",P14; transcript,prep room likely
S07,Sampling and field,Metal scoops spoons and strainers,CHECK,several visible,core,"reserve clean tools by sample",P14; P21; P26; transcript,A/B/C confirm
S08,Sampling and field,Buckets and pails,PRESENT,several visible,support,"label by purpose and separate sample from trash use",P21; P26; P28,A/B/C confirm
S09,Sampling and field,Small field or aquarium nets,CHECK,at least 2 visible,optional,"confirm activity need",P21; P26; P28,closet likely
S10,Sampling and field,Trash pickers,PRESENT,several visible,core,"count clean and pair with paper tally route",P21; P28-P29; transcript,closet likely
S11,Sampling and field,Measuring wheel,PRESENT,at least 1,core,"test wheel and reset counter",P21; P28; class inventory,closet likely
S12,Sampling and field,Resealable zipper bags,CHECK,one 100-count box plus additional bags visible,support,"confirm unused stock and sizes",P28; P30,A/B/C confirm
S13,Sampling and field,Small red sampling square or tray,CHECK,one described,optional,"locate and photograph beside ruler",transcript; class inventory,A/B/C confirm
S14,Sampling and field,Natural/plastic reference pane and found-plastic samples,PRESENT,present but count unknown,core,"reserve as reference not proof",class inventory; transcript,A/B/C confirm
S15,Sampling and field,Microplastic identification keys and guides,PRESENT,multiple described,core,"place one at each observation station",transcript,closet likely
S16,Sampling and field,Aquarium or tank with substrate,CHECK,1 visible,optional,"clean and use only for a specific model question",P15,prep room likely
L01,Microscopy and lab,Compound and dissecting microscopes,CHECK,at least 4 visible,core,"function-test clean optics and reserve",P13; class inventory,prep room
L02,Microscopy and lab,Microscope camera attachments,CHECK,present but count unknown,core,"test with microscope computer and software",transcript; class inventory,prep room
L03,Microscopy and lab,Microscope slides,CHECK,labeled stock visible,core,"count clean slides and confirm coverslip need",P14; transcript,prep room
L04,Microscopy and lab,Filter paper,CHECK,labeled stock visible,core,"verify diameter grade and quantity",P14; transcript,prep room
L05,Microscopy and lab,Tweezers or forceps,CHECK,labeled stock visible,core,"count clean pairs for separate stations",P14; transcript,prep room
L06,Microscopy and lab,Clear crystal or jar tape,CHECK,labeled stock visible,core,"test clarity width adhesion and remaining length",P14; transcript,prep room
L07,Microscopy and lab,Labeling tape,CHECK,labeled stock visible,core,"test on selected containers",P14; transcript,prep room
L08,Microscopy and lab,Balances and scales,CHECK,multiple types described,core,"select suitable balance and verify calibration",transcript; class inventory,prep room
L09,Microscopy and lab,Metric rulers,PRESENT,dedicated drawer,core,"reserve metric rulers",P03; class inventory,classroom likely
L10,Microscopy and lab,Distilled-water carboy,CHECK,1 large carboy visible,support,"confirm contents cleanliness and permission",P11; P18,prep room
L11,Microscopy and lab,Kimtech delicate-task wipes,PRESENT,at least 5 boxes of 280,core,"reserve for equipment cleaning as directed",P16,prep room likely
L12,Microscopy and lab,Sink dish soap and drying area,PRESENT,1 station visible,core,"define clean-to-dirty workflow",P11; P18,prep room
L13,Microscopy and lab,Mini vortex mixers,EXCLUDE,2 visible,not planned,"instructor use only unless protocol changes",P17,prep room
