day,date,activity,approximate_time,speaker_label,key_contribution,source
Friday,2026-07-24,Choose investigation locations,11:32-11:34,Youth voice,"Expected more evidence near water or vehicles, then compared that prediction with observation",Day 1 video 01
Friday,2026-07-24,Choose investigation locations,12:03,Youth A,"Connected eating areas and plastic use to a site-selection hypothesis",Day 1 video 10
Friday,2026-07-24,Choose investigation locations,12:03,Youth B,"Explained the group's accessible choice near the pier",Day 1 video 10
Friday,2026-07-24,Evidence jars,11:36-11:50,Facilitator,"Set the predict-count-magnify-record-evidence mission",Day 1 videos 03-05
Friday,2026-07-24,Evidence jars,11:44,Youth voice,"To have research and educate",Day 1 video 05
Friday,2026-07-24,Evidence jars,11:44,Youth voice,"Compared an estimate of 89 with 40-something and said the estimate was wrong",Day 1 video 05
Friday,2026-07-24,Beach sampling and labeling,12:00,Youth voice,"Distinguished wet and dry samples",Day 1 video 08
Friday,2026-07-24,Beach sampling and labeling,12:01,Youth voice,"Collected and labeled sand from two locations and described the work as fun",Day 1 video 09
Friday,2026-07-24,Second evidence cycle,12:38-1:00,Youth voice,"Explained that the evidence would be investigated to infer where the birds came from",Day 1 video 12
Monday,2026-07-27,Moving air,9:54-9:58,Facilitator,"Prompted observation of how lightweight pieces moved in air",Day 2 video 01
Monday,2026-07-27,Shared model,10:29-10:38,Youth voice,"Connected air with water and birds in the model",Day 2 video 14
Monday,2026-07-27,Movement and relationship reset,10:50,Youth group,"Used embodied movement to consider force and redirection",Same-session recorder transcript
Monday,2026-07-27,Neighborhood maps,11:06,Youth voice,"Asked how plastic moves and proposed community-level prevention",Same-session recorder transcript
Monday,2026-07-27,Fish ethics and sampling,11:16-11:36,Instructor,"Framed ecological care, sample choice, and safety",Day 2 videos 04-05
Monday,2026-07-27,Fish ethics and sampling,11:28,Youth voice,"Expressed care for the fish and chose partner support instead of cutting",Day 2 video 09
Monday,2026-07-27,Closing model,11:42-11:45,Youth A,"Explained that plastic travels to the ocean",Day 2 video 13
Monday,2026-07-27,Closing model,11:43-11:45,Youth B,"Connected air, water, animals, and prevention",Day 2 video 14
Tuesday,2026-07-28,Sand separation,9:33-9:46,Youth A,"Recalled sieving Day 1 sand and leaving a saltwater mixture to settle",Day 3 video 08
Tuesday,2026-07-28,Litter meter,9:51-10:06,Youth voice,"Selected the commentator role and counted visible litter",Day 3 videos 01-05
Tuesday,2026-07-28,Litter meter,9:59,Facilitator,"Corrected a doubled route and retained about 1331 feet as the working distance",Day 3 video 05
Tuesday,2026-07-28,Bicycle friction,10:19-10:39,Youth A,"Connected downhill riding with friction and described the activity as fun",Day 3 video 08
Tuesday,2026-07-28,Bicycle friction,10:39,Youth B,"Explained tire-sandpaper residue and microscope observation",Day 3 video 08
Tuesday,2026-07-28,Visiting scientist,11:06-11:46,Guest scientist,"Introduced a synthetic-tissue model and correct filtration",Day 3 video 11
Tuesday,2026-07-28,Identi-beads,11:47-12:08,Facilitator,"Invited youth to recognize environmental advocacy, care, bravery, and other scientific contributions",Day 3 video 14
Wednesday,2026-07-29,Mood opening,morning,Youth voice,"Named low energy without being required to justify it",Same-session recorder transcript
Wednesday,2026-07-29,Model revision,morning,Youth voice,"Added dirtier, a pipe, animals, air, and inhale to make relationships visible",Same-session recorder transcript
Wednesday,2026-07-29,Policy role-play,late morning,Youth group,"Argued for stormwater capture, producer responsibility, education, and a combined approach",Same-session recorder transcript
Wednesday,2026-07-29,Policy vote,11:00,Youth group,"Participated through votes and verbal reactions; final letter remains unverified",Day 4 videos 02-03
Wednesday,2026-07-29,Wearable advocacy art,11:03-noon,Youth voice,"Created Protect the seas protect your home; Save the ocean save your heart; and Nature wrapped around plastic",Day 4 video 04 and same-session recorder transcript
Thursday,2026-07-30,Prepare sampling station,before showcase,Facilitator,"Practiced representative shallow sampling, labeling, and three-sieve use",Same-session recorder transcript
Thursday,2026-07-30,Youth leadership,before showcase,Instructor,"Positioned youth as authorities who could teach younger scholars",Same-session recorder transcript
Thursday,2026-07-30,Showcase model,showcase,Youth voice,"Explained litter pathways, animals, people, and trash-can solutions",Same-session recorder transcript
Thursday,2026-07-30,Showcase measurement,showcase,Youth voice,"Reported about 400 meters and 51 visible litter observations",Same-session recorder transcript
Thursday,2026-07-30,Showcase tire and filtration,showcase,Youth voice,"Explained tire residue, magnification, tissue digestion, and filtration with evidence limits",Same-session recorder transcript
Thursday,2026-07-30,Showcase advocacy,showcase,Youth voice,"Proposed trash and recycling cans at the start middle end and pier",Same-session recorder transcript
Thursday,2026-07-30,Recognition,closing,Instructor,"Connected identity with doing science and being recognized for contribution",Same-session recorder transcript
